module	p_BH.variety_Vamu	p_BH.variety_Vvcs	p_BH.variety_Vvri	p_BH.variety_Vrip	p_BH.time	trait	correlation	fdr	label
brown	8.60186126536347e-09	6.1593109154702e-07	3.40066128641692e-07	3.59639759384516e-08	0.000478653082698561	V. vinifera Riesling	0.392727485248751	3.40066128641692e-07	0.39***
brown	8.60186126536347e-09	6.1593109154702e-07	3.40066128641692e-07	3.59639759384516e-08	0.000478653082698561	V. riparia	-0.421502662646824	3.59639759384516e-08	-0.42***
brown	8.60186126536347e-09	6.1593109154702e-07	3.40066128641692e-07	3.59639759384516e-08	0.000478653082698561	Time	-0.282446683061165	0.000478653082698561	-0.28***
green	0.00478108287001314	0.37955772707151	0.10757092150235	0.807178353078179	0.0119774555704287	V. amurensis	-0.230528273438688	0.00478108287001314	-0.23**
green	0.00478108287001314	0.37955772707151	0.10757092150235	0.807178353078179	0.0119774555704287	V. vinifera CS	0.0777723720686485	0.37955772707151	0.08
green	0.00478108287001314	0.37955772707151	0.10757092150235	0.807178353078179	0.0119774555704287	V. vinifera Riesling	0.138299818903931	0.10757092150235	0.14
green	0.00478108287001314	0.37955772707151	0.10757092150235	0.807178353078179	0.0119774555704287	V. riparia	-0.0216694267200354	0.807178353078179	-0.02
green	0.00478108287001314	0.37955772707151	0.10757092150235	0.807178353078179	0.0119774555704287	Time	-0.208332165211282	0.0119774555704287	-0.21*
grey	0.188886131686324	0.458886150086566	0.205116315587605	0.524532804332873	0.164681027700985	V. amurensis	0.113741185740967	0.188886131686324	0.11
grey	0.188886131686324	0.458886150086566	0.205116315587605	0.524532804332873	0.164681027700985	V. vinifera CS	0.064510935095294	0.458886150086566	0.06
grey	0.188886131686324	0.458886150086566	0.205116315587605	0.524532804332873	0.164681027700985	V. vinifera Riesling	-0.109456990874684	0.205116315587605	-0.11
grey	0.188886131686324	0.458886150086566	0.205116315587605	0.524532804332873	0.164681027700985	V. riparia	-0.055786246077756	0.524532804332873	-0.06
grey	0.188886131686324	0.458886150086566	0.205116315587605	0.524532804332873	0.164681027700985	Time	-0.120424961434095	0.164681027700985	-0.12
magenta	1.42901664739539e-60	0.00335102711030231	0.00172338087819698	0.000995710351391936	0.0045749128173804	V. amurensis	-0.89742593377213	1.42901664739539e-60	-0.90***
magenta	1.42901664739539e-60	0.00335102711030231	0.00172338087819698	0.000995710351391936	0.0045749128173804	V. vinifera CS	0.239936147856527	0.00335102711030231	0.24**
magenta	1.42901664739539e-60	0.00335102711030231	0.00172338087819698	0.000995710351391936	0.0045749128173804	V. vinifera Riesling	0.25630576987529	0.00172338087819698	0.26**
magenta	1.42901664739539e-60	0.00335102711030231	0.00172338087819698	0.000995710351391936	0.0045749128173804	V. riparia	0.267932420978448	0.000995710351391936	0.27***
magenta	1.42901664739539e-60	0.00335102711030231	0.00172338087819698	0.000995710351391936	0.0045749128173804	Time	0.232336889645712	0.0045749128173804	0.23**
pink	0.0144650209084412	0.0571470352364835	0.0207315383836125	0.0246725388281829	0.0392638074157786	V. amurensis	-0.202804778840595	0.0144650209084412	-0.20*
pink	0.0144650209084412	0.0571470352364835	0.0207315383836125	0.0246725388281829	0.0392638074157786	V. vinifera CS	0.159713919439899	0.0571470352364835	0.16
pink	0.0144650209084412	0.0571470352364835	0.0207315383836125	0.0246725388281829	0.0392638074157786	V. vinifera Riesling	0.192732822019491	0.0207315383836125	0.19*
pink	0.0144650209084412	0.0571470352364835	0.0207315383836125	0.0246725388281829	0.0392638074157786	V. riparia	-0.187251811863769	0.0246725388281829	-0.19*
pink	0.0144650209084412	0.0571470352364835	0.0207315383836125	0.0246725388281829	0.0392638074157786	Time	0.173492301941962	0.0392638074157786	0.17*
purple	0.00234328091008008	0.218721459845492	6.93040409174167e-28	1.55252615743654e-07	0.379517788498555	V. amurensis	0.249175834646406	0.00234328091008008	0.25**
purple	0.00234328091008008	0.218721459845492	6.93040409174167e-28	1.55252615743654e-07	0.379517788498555	V. vinifera CS	0.105839193232136	0.218721459845492	0.11
purple	0.00234328091008008	0.218721459845492	6.93040409174167e-28	1.55252615743654e-07	0.379517788498555	V. vinifera Riesling	-0.720685959540903	6.93040409174167e-28	-0.72***
purple	0.00234328091008008	0.218721459845492	6.93040409174167e-28	1.55252615743654e-07	0.379517788498555	V. riparia	0.402987663661379	1.55252615743654e-07	0.40***
purple	0.00234328091008008	0.218721459845492	6.93040409174167e-28	1.55252615743654e-07	0.379517788498555	Time	-0.0788916219298199	0.379517788498555	-0.08
red	0.164681027700985	0.429473224039214	0.976807735688978	0.761317742864415	1.9688913502162e-11	V. amurensis	-0.120036408173216	0.164681027700985	-0.12
red	0.164681027700985	0.429473224039214	0.976807735688978	0.761317742864415	1.9688913502162e-11	V. vinifera CS	0.069206516473189	0.429473224039214	0.07
red	0.164681027700985	0.429473224039214	0.976807735688978	0.761317742864415	1.9688913502162e-11	V. vinifera Riesling	0.00394405244148175	0.976807735688978	0.00
