dataset	sample_id	matrix_column	genotype	condition	context	time	replicate	qc_status	source_file
GSE124820	GSM3554540	GSM3554540_D8R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	8	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554541	GSM3554541_D8R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	8	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554542	GSM3554542_D9R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	9	1	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554543	GSM3554543_D9R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	9	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554544	GSM3554544_D9R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	9	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554545	GSM3554545_D10R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	10	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554546	GSM3554546_D10R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	10	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554547	GSM3554547_D11R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	11	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554548	GSM3554548_D11R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	11	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554549	GSM3554549_D11R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	11	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554550	GSM3554550_D12R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	12	1	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554551	GSM3554551_D12R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	12	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554552	GSM3554552_D12R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	12	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554553	GSM3554553_D13R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	13	1	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554554	GSM3554554_D13R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	13	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554555	GSM3554555_D13R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	13	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554556	GSM3554556_D14R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	14	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554557	GSM3554557_D14R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	14	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554558	GSM3554558_D14R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	14	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
