dataset	sample_id	module_color	projected_module_score	sample_index	dataset_short
GSE273240	Deac2_3d_Control_rep1	turquoise	-0.304955901921613	83	273240
GSE273240	Deac2_3d_Control_rep2	turquoise	-0.78289042605467	65	273240
GSE273240	Deac2_3d_Control_rep3	turquoise	-0.90905008221239	58	273240
GSE273240	Deac2_5d_Control_rep1	turquoise	-0.696398469259633	52	273240
GSE273240	Deac2_5d_Control_rep2	turquoise	-0.782274008280591	53	273240
GSE273240	Deac2_5d_Control_rep3	turquoise	-0.618716663344992	56	273240
GSE273240	Deac2_5d_tetralone-ABA_rep1	turquoise	-0.621472200682149	60	273240
GSE273240	Deac2_5d_tetralone-ABA_rep2	turquoise	-0.445646223999692	51	273240
GSE273240	Deac2_5d_tetralone-ABA_rep3	turquoise	-0.411992601570967	59	273240
GSE273240	Deac2_7d_tetralone-ABA_rep1	turquoise	-0.569062186628625	74	273240
GSE273240	Deac2_7d_tetralone-ABA_rep2	turquoise	-0.622179461147181	72	273240
GSE273240	Deac2_7d_tetralone-ABA_rep3	turquoise	-0.574608238025764	71	273240
GSE273240	Deac2_7d_Control_rep1	turquoise	-0.566744765519115	57	273240
GSE273240	Deac2_7d_Control_rep2	turquoise	-0.562551529287168	61	273240
GSE273240	Deac2_7d_Control_rep3	turquoise	-0.578665439418593	62	273240
GSE273240	Deac2_14d_Control_rep1	turquoise	-0.129706456383455	25	273240
GSE273240	Deac2_14d_Control_rep2	turquoise	-0.149491996116845	27	273240
GSE273240	Deac2_14d_Control_rep3	turquoise	-0.105357435777452	26	273240
GSE273240	Deac2_14d_tetralone-ABA_rep1	turquoise	0.0548264500378199	23	273240
GSE273240	Deac2_14d_tetralone-ABA_rep2	turquoise	-0.516033247328563	45	273240
GSE273240	Deac2_14d_tetralone-ABA_rep3	turquoise	-0.482888817009395	70	273240
GSE273240	Deac3_0d_Control_rep1	turquoise	-0.621852024701593	81	273240
GSE273240	Deac3_0d_Control_rep2	turquoise	-0.495172360558593	73	273240
GSE273240	Deac3_0d_Control_rep3	turquoise	-0.499627295229917	69	273240
GSE273240	Deac3_0d_tetralone-ABA_rep1	turquoise	-0.0250550550184088	37	273240
GSE273240	Deac3_0d_tetralone-ABA_rep2	turquoise	0.681178201066282	16	273240
GSE273240	Deac3_0d_tetralone-ABA_rep3	turquoise	-0.650948225540502	76	273240
GSE273240	Deac3_3d_Control_rep1	turquoise	0.847297067230857	15	273240
GSE273240	Deac3_3d_Control_rep2	turquoise	0.780763513260213	21	273240
GSE273240	Deac3_3d_Control_rep3	turquoise	0.692266450062994	22	273240
GSE273240	Deac3_3d_tetralone-ABA_rep1	turquoise	0.357541654798156	20	273240
GSE273240	Deac3_3d_tetralone-ABA_rep2	turquoise	0.0865716539265332	34	273240
GSE273240	Deac3_3d_tetralone-ABA_rep3	turquoise	0.115799478494692	39	273240
GSE273240	Deac3_5d_Control_rep1	turquoise	1.68086117037049	12	273240
GSE273240	Deac3_5d_Control_rep2	turquoise	1.9354079640078	10	273240
GSE273240	Deac3_5d_Control_rep3	turquoise	2.02727280833296	8	273240
GSE273240	Deac3_5d_tetralone-ABA_rep1	turquoise	0.763269398745005	18	273240
GSE273240	Deac3_5d_tetralone-ABA_rep2	turquoise	0.661691682393297	19	273240
GSE273240	Deac3_5d_tetralone-ABA_rep3	turquoise	0.709820982749975	17	273240
GSE273240	Deac3_7d_Control_rep1	turquoise	2.01975255873891	3	273240
