gene_id	k	estimate	se_hk	ci_low	ci_high	p_value	tau2	i2	q	q_hk	padj	heterogeneity_high	all_varieties_same_sign	all_loo_same_sign	robust_meta_gene	module_color	class	neglog10_fdr
Vitvi05g00426	4	2.05390983646571	0.26642051940195	1.20604083884321	2.90177883408821	0.00453659083293427	0.188624924949409	0.72681772185359	10.9816786811924	0.878048437654081	0.0343997870407952	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.46344424601259
Vitvi05g00427	4	3.89792198773591	0.613109035714276	1.94673540229096	5.84910857318087	0.00787399906288194	0	0	0.721759633791212	0.240586544597071	0.0401239339013882	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.39659649369972
Vitvi05g00429	4	1.91406871349354	0.297096515437152	0.968575005627909	2.85956242135917	0.00758315161725004	0.202692085578345	0.574438193619733	7.04950480757972	1.00246842726367	0.0399183666834941	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.39882723679492
Vitvi05g00430	4	-1.43093382650034	0.793849326629529	-3.95731668298445	1.09544902998376	0.169251405240021	2.2493381816148	0.899392738911221	29.8189212938885	0.996143469544791	0.247120616806215	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.607091020718255
Vitvi05g00433	4	2.36627325902111	0.585561700471318	0.502754588840514	4.2297919292017	0.0272692971475259	1.167339526768	0.855813992074641	20.8064571810117	0.996193286996488	0.0718859195432065	TRUE	TRUE	TRUE	FALSE	NA	Not robust	1.14335616752442
Vitvi05g00434	4	1.87023918876218	0.151401254888416	1.38841282452723	2.35206555299714	0.00114291925812053	0	0	2.27765178712915	0.759217262376384	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	green	Other robust	1.52869151439248
Vitvi05g00435	4	-1.9238521385435	0.131362912909254	-2.34190755538286	-1.50579672170414	0.000690450051296515	0	0	1.05870300991948	0.352901003306494	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.52869151439248
Vitvi05g00436	4	0.454632260879613	0.173995975825084	-0.0991005895191581	1.00836511127838	0.0794867205178029	0.0561237893952239	0.537004540571219	6.47954518539176	1.1620567220114	0.142704008995574	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.845563826043031
Vitvi05g00437	4	0.819475251002472	0.326751927914113	-0.220395214732127	1.85934571673707	0.0870950895746072	0.22369235494149	0.527692973173687	6.35180048062936	1.00827608137249	0.152139366317583	FALSE	TRUE	TRUE	FALSE	turquoise	Not robust	0.817758396976426
Vitvi05g00438	4	0.376173768802152	0.192630013889641	-0.236860907187685	0.98920844479199	0.145869745656262	0.112095672891715	0.796563688448159	14.7466299261699	0.930090809124142	0.221003454714397	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.655600937393295
Vitvi05g00439	4	0.766494672693591	0.196201801848307	0.14209297331144	1.39089637207574	0.0297883843547853	0.0930037884720771	0.60632802054575	7.62055761286063	1.00444381421529	0.075978827407884	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.11930741325847
Vitvi05g00440	4	-0.333970554548205	0.197309253644155	-0.961896659806331	0.293955550709921	0.189103113543882	0.0829958257447685	0.537243080256265	6.48288522981209	0.963357584133901	0.26919735436189	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.569929212619228
Vitvi05g00441	4	1.16119666592582	0.245635242291955	0.379475696646323	1.94291763520533	0.0179366491027933	0.135467445531023	0.581309032395989	7.16518920187773	0.893253236576724	0.0571331126263486	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.24311211482229
Vitvi05g00442	4	0.434368963305433	1.10163997182016	-3.07154109476648	3.94027902137734	0.719721744120816	4.08109641171273	0.88448735700505	25.9711830862632	0.944086159589702	0.77617532810297	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.110040166078135
Vitvi05g00443	4	-2.92534354619249	0.278434529626958	-3.81144648626721	-2.03924060611777	0.00184129745430106	0.245271969611998	0.811335635662273	15.9012541161707	0.982511100549519	0.0299118315013372	TRUE	TRUE	TRUE	TRUE	blue	Blue module	1.52415699430495
Vitvi05g00444	4	1.5289378142737	0.243578549992711	0.753762157803033	2.30411347074436	0.0081638494576181	0	0	2.34047478225684	0.78015826075228	0.0406260840021498	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.39119503783162
Vitvi05g00448	4	3.16113457311758	0.983015400452911	0.0327408439092283	6.28952830232593	0.0487418114032895	3.11196179753884	0.827983544322312	17.4401919175755	1.03820375669263	0.102846904872115	TRUE	TRUE	TRUE	FALSE	turquoise	Not robust	0.987808773655086
Vitvi05g00449	4	2.30466545840417	0.551844627160225	0.548449563607447	4.06088135320089	0.0250038114728853	1.02455243066725	0.859891958522518	21.4120472198747	0.976156110580908	0.0684371875419366	TRUE	TRUE	TRUE	FALSE	grey	Not robust	1.16470784629802
Vitvi05g00451	4	-1.48429397411733	0.126520021471173	-1.88693714899269	-1.08165079924198	0.00133089620757967	0.0143986212236265	0.214136686201215	3.81745775292436	0.983712602240094	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.52869151439248
Vitvi05g00452	4	0.088301403678169	0.273963320797239	-0.78357215437626	0.960174961732598	0.76837214012405	0.254016379162951	0.855294421965197	20.7317509161843	0.987107043750597	0.817703677289797	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.0874040491806616
Vitvi05g00453	4	-1.08978345591772	0.251575564675057	-1.89040918221752	-0.289157729617921	0.0226899743713804	0.190171388179324	0.776185671178957	13.4039675466835	0.958526190909882	0.0649175859921736	TRUE	TRUE	TRUE	FALSE	NA	Not robust	1.1876376381029
Vitvi05g00454	4	2.79297591529659	0.283390127745421	1.8911020502993	3.69484978029388	0.00222104297125163	0.0877917993691374	0.331047670944183	4.48462449369794	1.10107974183769	0.0299118315013372	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.52415699430495
Vitvi05g00455	4	1.19216358402139	0.234905363935111	0.444589876474772	1.93973729156801	0.0147754829354626	0.101325623630239	0.456664587575401	5.52145126453786	0.969241572189699	0.0519458711626042	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.28444896596162
Vitvi05g00456	4	0.352902738329495	0.689817377512888	-1.84240402605689	2.54820950271588	0.644215268224652	1.71667730144973	0.921490703365374	38.2120351168304	0.984318255380983	0.712817736953549	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.147021502342093
Vitvi05g00457	4	-0.482474922308113	0.349056240681177	-1.59332766580015	0.62837782118392	0.260835167485458	0.35361308286577	0.738541118306855	11.4740795209278	1.02208439906622	0.346305752149929	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.460540294745006
Vitvi05g00458	4	-0.578138733858108	0.0909031019811171	-0.867432974896742	-0.288844492819474	0.00786588939291057	0	0.0107220147832517	3.03251466709098	1.01083822236366	0.0401149772377076	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.39669344989152
Vitvi05g00459	4	-2.52091106732929	0.444956219428214	-3.93696034386161	-1.10486179079696	0.0108909533887738	0.451812085532338	0.597061716033419	7.44530892043213	1.06606789871452	0.0457163805974626	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.33992816035838
