gene_id	Vamu	Vvcs	Vvri	Vrip
Vitvi00g02269	TRUE	TRUE	TRUE	TRUE
Vitvi00g02270	TRUE	TRUE	TRUE	TRUE
Vitvi00g02289	TRUE	TRUE	TRUE	TRUE
Vitvi00g02293	FALSE	FALSE	TRUE	FALSE
Vitvi00g02294	TRUE	TRUE	TRUE	TRUE
Vitvi00g02300	TRUE	TRUE	TRUE	FALSE
Vitvi00g02317	FALSE	TRUE	TRUE	TRUE
Vitvi00g02347	FALSE	TRUE	FALSE	FALSE
Vitvi00g02353	FALSE	TRUE	TRUE	TRUE
Vitvi01g00001	TRUE	TRUE	TRUE	FALSE
Vitvi01g00002	TRUE	TRUE	TRUE	TRUE
Vitvi01g00005	TRUE	TRUE	TRUE	TRUE
Vitvi01g00006	TRUE	TRUE	FALSE	FALSE
Vitvi01g00008	TRUE	TRUE	TRUE	TRUE
Vitvi01g00011	TRUE	TRUE	TRUE	TRUE
Vitvi01g00012	TRUE	TRUE	TRUE	TRUE
Vitvi01g00014	TRUE	TRUE	TRUE	TRUE
Vitvi01g00019	TRUE	TRUE	TRUE	TRUE
Vitvi01g00023	TRUE	TRUE	FALSE	TRUE
Vitvi01g00024	TRUE	TRUE	TRUE	TRUE
Vitvi01g00025	TRUE	TRUE	TRUE	TRUE
Vitvi01g00026	TRUE	TRUE	TRUE	TRUE
Vitvi01g00027	FALSE	TRUE	TRUE	TRUE
Vitvi01g00028	TRUE	TRUE	TRUE	FALSE
Vitvi01g00029	TRUE	TRUE	TRUE	TRUE
Vitvi01g00031	TRUE	TRUE	FALSE	TRUE
Vitvi01g00033	TRUE	TRUE	TRUE	TRUE
Vitvi01g00034	TRUE	TRUE	TRUE	TRUE
Vitvi01g00035	TRUE	TRUE	TRUE	TRUE
Vitvi01g00036	TRUE	TRUE	TRUE	TRUE
Vitvi01g00037	TRUE	TRUE	TRUE	TRUE
Vitvi01g00038	TRUE	TRUE	FALSE	TRUE
Vitvi01g00039	TRUE	TRUE	TRUE	TRUE
Vitvi01g00041	FALSE	TRUE	TRUE	TRUE
Vitvi01g00042	TRUE	TRUE	TRUE	TRUE
Vitvi01g00043	TRUE	TRUE	TRUE	TRUE
Vitvi01g00045	TRUE	TRUE	TRUE	TRUE
Vitvi01g00046	TRUE	TRUE	FALSE	TRUE
Vitvi01g00048	TRUE	TRUE	TRUE	TRUE
Vitvi01g00049	TRUE	TRUE	TRUE	TRUE
Vitvi01g00050	TRUE	TRUE	TRUE	TRUE
Vitvi01g00051	FALSE	TRUE	TRUE	TRUE
Vitvi01g00052	TRUE	TRUE	TRUE	TRUE
Vitvi01g00053	TRUE	TRUE	TRUE	TRUE
Vitvi01g00054	TRUE	TRUE	TRUE	TRUE
Vitvi01g00055	TRUE	TRUE	TRUE	TRUE
Vitvi01g00056	TRUE	TRUE	FALSE	FALSE
Vitvi01g00058	TRUE	TRUE	TRUE	TRUE
Vitvi01g00059	TRUE	TRUE	TRUE	TRUE
Vitvi01g00060	TRUE	TRUE	TRUE	TRUE
Vitvi01g00061	TRUE	TRUE	TRUE	TRUE
Vitvi01g00062	TRUE	TRUE	TRUE	TRUE
Vitvi01g00063	TRUE	TRUE	TRUE	TRUE
Vitvi01g00064	TRUE	TRUE	TRUE	TRUE
Vitvi01g00065	TRUE	TRUE	FALSE	TRUE
Vitvi01g00066	FALSE	TRUE	TRUE	FALSE
Vitvi01g00068	FALSE	TRUE	TRUE	FALSE
Vitvi01g00070	TRUE	TRUE	TRUE	TRUE
Vitvi01g00071	TRUE	TRUE	TRUE	TRUE
Vitvi01g00074	FALSE	TRUE	TRUE	TRUE
Vitvi01g00075	TRUE	TRUE	TRUE	FALSE
Vitvi01g00076	TRUE	TRUE	TRUE	TRUE
Vitvi01g00077	FALSE	TRUE	TRUE	FALSE
Vitvi01g00078	FALSE	TRUE	TRUE	TRUE
Vitvi01g00079	FALSE	TRUE	TRUE	FALSE
Vitvi01g00080	TRUE	TRUE	TRUE	TRUE
Vitvi01g00081	TRUE	TRUE	TRUE	TRUE
Vitvi01g00082	TRUE	TRUE	FALSE	TRUE
Vitvi01g00083	TRUE	TRUE	TRUE	FALSE
Vitvi01g00085	TRUE	TRUE	TRUE	FALSE
Vitvi01g00086	TRUE	TRUE	TRUE	TRUE
Vitvi01g00087	TRUE	TRUE	TRUE	TRUE
Vitvi01g00088	FALSE	TRUE	TRUE	FALSE
Vitvi01g00089	TRUE	FALSE	FALSE	FALSE
Vitvi01g00090	TRUE	TRUE	TRUE	TRUE
Vitvi01g00091	TRUE	TRUE	TRUE	TRUE
Vitvi01g00092	TRUE	TRUE	TRUE	TRUE
Vitvi01g00094	TRUE	TRUE	TRUE	TRUE
Vitvi01g00095	TRUE	TRUE	TRUE	TRUE
Vitvi01g00096	TRUE	TRUE	TRUE	TRUE
Vitvi01g00097	TRUE	TRUE	TRUE	TRUE
Vitvi01g00098	TRUE	TRUE	FALSE	TRUE
Vitvi01g00099	TRUE	FALSE	FALSE	TRUE
Vitvi01g00100	TRUE	TRUE	FALSE	TRUE
Vitvi01g00101	TRUE	TRUE	FALSE	TRUE
Vitvi01g00102	TRUE	TRUE	TRUE	TRUE
Vitvi01g00103	TRUE	TRUE	TRUE	TRUE
Vitvi01g00104	TRUE	TRUE	TRUE	TRUE
Vitvi01g00105	TRUE	FALSE	TRUE	TRUE
Vitvi01g00106	TRUE	TRUE	TRUE	TRUE
Vitvi01g00108	TRUE	TRUE	TRUE	TRUE
Vitvi01g00111	TRUE	FALSE	FALSE	TRUE
Vitvi01g00112	TRUE	TRUE	FALSE	FALSE
Vitvi01g00113	FALSE	FALSE	TRUE	FALSE
Vitvi01g00114	TRUE	TRUE	TRUE	TRUE
Vitvi01g00115	TRUE	TRUE	TRUE	TRUE
Vitvi01g00116	TRUE	TRUE	TRUE	TRUE
Vitvi01g00119	TRUE	TRUE	FALSE	FALSE
Vitvi01g00120	TRUE	TRUE	TRUE	FALSE
Vitvi01g00121	TRUE	TRUE	TRUE	TRUE
Vitvi01g00122	TRUE	TRUE	TRUE	TRUE
Vitvi01g00123	FALSE	TRUE	FALSE	TRUE
Vitvi01g00124	TRUE	TRUE	TRUE	TRUE
Vitvi01g00128	TRUE	TRUE	TRUE	TRUE
Vitvi01g00129	TRUE	TRUE	TRUE	TRUE
Vitvi01g00130	TRUE	TRUE	TRUE	TRUE
Vitvi01g00131	TRUE	TRUE	TRUE	TRUE
Vitvi01g00132	TRUE	TRUE	TRUE	FALSE
Vitvi01g00133	TRUE	TRUE	TRUE	TRUE
Vitvi01g00134	TRUE	TRUE	TRUE	TRUE
Vitvi01g00135	TRUE	TRUE	TRUE	TRUE
Vitvi01g00136	FALSE	TRUE	TRUE	FALSE
Vitvi01g00137	FALSE	TRUE	TRUE	TRUE
Vitvi01g00138	TRUE	TRUE	TRUE	TRUE
Vitvi01g00139	TRUE	TRUE	TRUE	TRUE
Vitvi01g00140	TRUE	TRUE	TRUE	TRUE
Vitvi01g00141	TRUE	TRUE	TRUE	TRUE
Vitvi01g00142	FALSE	TRUE	FALSE	FALSE
Vitvi01g00143	TRUE	TRUE	TRUE	TRUE
Vitvi01g00145	TRUE	TRUE	TRUE	TRUE
Vitvi01g00146	TRUE	TRUE	TRUE	TRUE
Vitvi01g00147	FALSE	TRUE	TRUE	FALSE
Vitvi01g00148	TRUE	TRUE	TRUE	TRUE
Vitvi01g00149	TRUE	TRUE	TRUE	TRUE
Vitvi01g00150	TRUE	TRUE	TRUE	TRUE
Vitvi01g00151	TRUE	TRUE	TRUE	TRUE
Vitvi01g00152	TRUE	TRUE	TRUE	TRUE
Vitvi01g00155	TRUE	TRUE	TRUE	FALSE
Vitvi01g00156	TRUE	TRUE	TRUE	TRUE
Vitvi01g00157	TRUE	TRUE	TRUE	TRUE
Vitvi01g00158	TRUE	TRUE	TRUE	TRUE
Vitvi01g00159	TRUE	TRUE	TRUE	TRUE
Vitvi01g00160	TRUE	TRUE	TRUE	TRUE
Vitvi01g00161	TRUE	FALSE	FALSE	FALSE
Vitvi01g00162	TRUE	TRUE	TRUE	TRUE
Vitvi01g00163	TRUE	TRUE	TRUE	TRUE
Vitvi01g00164	TRUE	TRUE	TRUE	TRUE
Vitvi01g00165	TRUE	TRUE	TRUE	TRUE
Vitvi01g00166	TRUE	TRUE	TRUE	TRUE
Vitvi01g00167	FALSE	TRUE	FALSE	FALSE
Vitvi01g00168	TRUE	TRUE	TRUE	FALSE
Vitvi01g00169	TRUE	TRUE	TRUE	TRUE
Vitvi01g00170	TRUE	TRUE	TRUE	FALSE
Vitvi01g00171	TRUE	TRUE	FALSE	TRUE
Vitvi01g00172	TRUE	TRUE	FALSE	TRUE
Vitvi01g00173	TRUE	TRUE	TRUE	TRUE
Vitvi01g00174	TRUE	TRUE	TRUE	FALSE
Vitvi01g00175	TRUE	TRUE	TRUE	TRUE
Vitvi01g00176	TRUE	TRUE	FALSE	FALSE
Vitvi01g00178	TRUE	TRUE	TRUE	FALSE
Vitvi01g00181	FALSE	TRUE	TRUE	FALSE
Vitvi01g00182	TRUE	TRUE	FALSE	FALSE
Vitvi01g00183	FALSE	TRUE	TRUE	TRUE
Vitvi01g00186	FALSE	TRUE	TRUE	TRUE
Vitvi01g00187	TRUE	TRUE	TRUE	TRUE
Vitvi01g00188	TRUE	TRUE	TRUE	TRUE
Vitvi01g00189	TRUE	TRUE	TRUE	TRUE
Vitvi01g00190	TRUE	TRUE	FALSE	FALSE
