gene_id	i2	group	robust_meta_gene
Vitvi01g00230	0.184369911329498	Turquoise	TRUE
Vitvi01g00232	0.440610054226471	Turquoise	FALSE
Vitvi01g00233	0.843588179109943	All genes	FALSE
Vitvi01g00234	0.857411988720514	Turquoise	TRUE
Vitvi01g00236	0.704132535786132	All genes	FALSE
Vitvi01g00237	0.572368452782736	All genes	TRUE
Vitvi01g00238	0.757808764892711	Blue	TRUE
Vitvi01g00241	0.89518510367071	Turquoise	FALSE
Vitvi01g00243	0.77710551326371	All genes	FALSE
Vitvi01g00244	0.885207426544403	Blue	FALSE
Vitvi01g00245	0.864311147063562	All genes	FALSE
Vitvi01g00246	0.174345992339378	All genes	TRUE
Vitvi01g00247	0.343507739380326	All genes	TRUE
Vitvi01g00249	0.111204714208081	All genes	TRUE
Vitvi01g00250	0.810544113038364	All genes	FALSE
Vitvi01g00251	0.780781619502487	All genes	FALSE
Vitvi01g00252	0.578681636429023	All genes	FALSE
Vitvi01g00253	0.698673877204863	All genes	FALSE
Vitvi01g00254	0.721183836315034	All genes	FALSE
Vitvi01g00255	0.419856235477397	All genes	FALSE
Vitvi01g00258	0.720099931291306	Turquoise	TRUE
Vitvi01g00259	0.580722454728214	All genes	FALSE
Vitvi01g00260	0.902052468689664	Turquoise	FALSE
Vitvi01g00265	0.554873360483196	All genes	FALSE
Vitvi01g00266	0.96091426395243	All genes	FALSE
Vitvi01g00267	0	All genes	TRUE
Vitvi01g00269	0.545241293799943	All genes	FALSE
Vitvi01g00270	0	All genes	TRUE
Vitvi01g00271	0	All genes	FALSE
Vitvi01g00272	0	All genes	FALSE
Vitvi01g00273	0	All genes	TRUE
Vitvi01g00274	0.273748828174946	All genes	FALSE
Vitvi01g00275	0	Blue	TRUE
Vitvi01g00277	0.965221788619614	All genes	FALSE
Vitvi01g00278	0	All genes	TRUE
Vitvi01g00279	0.529194160030675	All genes	FALSE
Vitvi01g00280	0.898757857259655	Turquoise	TRUE
Vitvi01g00281	0	All genes	FALSE
Vitvi01g00282	0.965243137189865	All genes	FALSE
Vitvi01g00284	0.971439190396189	Turquoise	FALSE
Vitvi01g00286	0.531571126260527	Turquoise	TRUE
Vitvi01g00287	0	All genes	FALSE
Vitvi01g00288	0.947490239195155	All genes	FALSE
Vitvi01g00291	0.375161581426899	All genes	TRUE
Vitvi01g00292	0.747877709288683	Turquoise	TRUE
Vitvi01g00293	0.817621540426191	Turquoise	FALSE
Vitvi01g00294	0.646211692445997	All genes	FALSE
Vitvi01g00295	0.859296595336261	All genes	FALSE
Vitvi01g00296	0	All genes	TRUE
Vitvi01g00299	0.854563610717187	All genes	FALSE
Vitvi01g00300	0.637894950828781	All genes	FALSE
Vitvi01g00301	0.788152063010627	All genes	FALSE
Vitvi01g00302	0.512997040467315	All genes	TRUE
Vitvi01g00303	0.697873077780452	All genes	FALSE
Vitvi01g00304	0	All genes	TRUE
Vitvi01g00305	0.58768648080034	All genes	FALSE
Vitvi01g00306	0.939280790773562	All genes	FALSE
Vitvi01g00308	0.375463087586733	All genes	FALSE
Vitvi01g00309	0	Turquoise	TRUE
Vitvi01g00310	0.4643468175001	All genes	TRUE
