accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes	qc_status	qc_reason
GSE273240	tetralone_ABA	GSM8424782	Deac2_5d_Control_rep3	Deac2_5d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	5	day	3	Control	Deac2	2104485	18558	pass	
GSE273240	tetralone_ABA	GSM8424783	Deac2_5d_tetralone-ABA_rep1	Deac2_5d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	5	day	1	tetralone-ABA	Deac2	1931310	18859	pass	
GSE273240	tetralone_ABA	GSM8424784	Deac2_5d_tetralone-ABA_rep2	Deac2_5d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	5	day	2	tetralone-ABA	Deac2	3456283	18057	pass	
GSE273240	tetralone_ABA	GSM8424785	Deac2_5d_tetralone-ABA_rep3	Deac2_5d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	5	day	3	tetralone-ABA	Deac2	2739024	18367	pass	
GSE273240	tetralone_ABA	GSM8424786	Deac2_7d_tetralone-ABA_rep1	Deac2_7d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	7	day	1	tetralone-ABA	Deac2	2262953	18379	pass	
GSE273240	tetralone_ABA	GSM8424787	Deac2_7d_tetralone-ABA_rep2	Deac2_7d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	7	day	2	tetralone-ABA	Deac2	1722748	17613	pass	
GSE273240	tetralone_ABA	GSM8424788	Deac2_7d_tetralone-ABA_rep3	Deac2_7d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	7	day	3	tetralone-ABA	Deac2	1749014	17192	pass	
GSE273240	tetralone_ABA	GSM8424789	Deac2_7d_Control_rep1	Deac2_7d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	7	day	1	Control	Deac2	1753693	18280	pass	
GSE273240	tetralone_ABA	GSM8424790	Deac2_7d_Control_rep2	Deac2_7d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	7	day	2	Control	Deac2	1821662	18275	pass	
GSE273240	tetralone_ABA	GSM8424791	Deac2_7d_Control_rep3	Deac2_7d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	7	day	3	Control	Deac2	2012990	18581	pass	
GSE273240	tetralone_ABA	GSM8424792	Deac2_14d_Control_rep1	Deac2_14d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	14	day	1	Control	Deac2	1497997	17985	pass	
GSE273240	tetralone_ABA	GSM8424793	Deac2_14d_Control_rep2	Deac2_14d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	14	day	2	Control	Deac2	2446955	19184	pass	
GSE273240	tetralone_ABA	GSM8424794	Deac2_14d_Control_rep3	Deac2_14d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	14	day	3	Control	Deac2	2376343	19163	pass	
GSE273240	tetralone_ABA	GSM8424795	Deac2_14d_tetralone-ABA_rep1	Deac2_14d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	14	day	1	tetralone-ABA	Deac2	2115188	19171	pass	
GSE273240	tetralone_ABA	GSM8424796	Deac2_14d_tetralone-ABA_rep2	Deac2_14d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	14	day	2	tetralone-ABA	Deac2	694169	16192	watch	library_size_lt_50pct_median
GSE273240	tetralone_ABA	GSM8424797	Deac2_14d_tetralone-ABA_rep3	Deac2_14d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	14	day	3	tetralone-ABA	Deac2	3101798	19102	pass	
GSE273240	tetralone_ABA	GSM8424798	Deac3_0d_Control_rep1	Deac3_0d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	0	day	1	Control	Deac3	2088603	17792	pass	
GSE273240	tetralone_ABA	GSM8424799	Deac3_0d_Control_rep2	Deac3_0d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	0	day	2	Control	Deac3	1319403	16681	pass	
GSE273240	tetralone_ABA	GSM8424800	Deac3_0d_Control_rep3	Deac3_0d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	0	day	3	Control	Deac3	2370365	18710	pass	
GSE273240	tetralone_ABA	GSM8424801	Deac3_0d_tetralone-ABA_rep1	Deac3_0d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	0	day	1	tetralone-ABA	Deac3	2139312	18597	pass	
GSE273240	tetralone_ABA	GSM8424802	Deac3_0d_tetralone-ABA_rep2	Deac3_0d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	0	day	2	tetralone-ABA	Deac3	1629236	18715	pass	
GSE273240	tetralone_ABA	GSM8424803	Deac3_0d_tetralone-ABA_rep3	Deac3_0d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	0	day	3	tetralone-ABA	Deac3	2460076	18574	pass	
GSE273240	tetralone_ABA	GSM8424804	Deac3_3d_Control_rep1	Deac3_3d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	3	day	1	Control	Deac3	2366996	19473	pass	
