matrix_column	sample_accession	matched
GSM3554633_D3R1VripAligned.counts.txt.gz	GSM3554633	true
GSM3554634_D3R2VripAligned.counts.txt.gz	GSM3554634	true
GSM3554635_D3R3VripAligned.counts.txt.gz	GSM3554635	true
GSM3554636_D3R4VripAligned.counts.txt.gz	GSM3554636	true
GSM3554637_D4R1VripAligned.counts.txt.gz	GSM3554637	true
GSM3554638_D4R2VripAligned.counts.txt.gz	GSM3554638	true
GSM3554639_D4R3VripAligned.counts.txt.gz	GSM3554639	true
GSM3554640_D4R4VripAligned.counts.txt.gz	GSM3554640	true
GSM3554641_D4R5VripAligned.counts.txt.gz	GSM3554641	true
GSM3554642_D5R1VripAligned.counts.txt.gz	GSM3554642	true
GSM3554643_D5R2VripAligned.counts.txt.gz	GSM3554643	true
GSM3554644_D5R3VripAligned.counts.txt.gz	GSM3554644	true
GSM3554645_D6R1VripAligned.counts.txt.gz	GSM3554645	true
GSM3554646_D6R2VripAligned.counts.txt.gz	GSM3554646	true
GSM3554647_D6R3VripAligned.counts.txt.gz	GSM3554647	true
GSM3554648_D6R4VripAligned.counts.txt.gz	GSM3554648	true
GSM3554649_D7R1VripAligned.counts.txt.gz	GSM3554649	true
GSM3554650_D7R2VripAligned.counts.txt.gz	GSM3554650	true
GSM3554651_D7R3VripAligned.counts.txt.gz	GSM3554651	true
GSM3554652_D8R1VripAligned.counts.txt.gz	GSM3554652	true
GSM3554653_D8R2VripAligned.counts.txt.gz	GSM3554653	true
GSM3554654_D8R3VripAligned.counts.txt.gz	GSM3554654	true
GSM3554655_D9R1VripAligned.counts.txt.gz	GSM3554655	true
GSM3554656_D9R2VripAligned.counts.txt.gz	GSM3554656	true
GSM3554657_D9R3VripAligned.counts.txt.gz	GSM3554657	true
GSM3554658_D10R1VripAligned.counts.txt.gz	GSM3554658	true
GSM3554659_D10R2VripAligned.counts.txt.gz	GSM3554659	true
GSM3554660_D10R3VripAligned.counts.txt.gz	GSM3554660	true
GSM3554661_D11R1VripAligned.counts.txt.gz	GSM3554661	true
GSM3554662_D11R2VripAligned.counts.txt.gz	GSM3554662	true
GSM3554663_D11R3VripAligned.counts.txt.gz	GSM3554663	true
GSM3554664_D12R1VripAligned.counts.txt.gz	GSM3554664	true
GSM3554665_D12R2VripAligned.counts.txt.gz	GSM3554665	true
GSM3554666_D12R3VripAligned.counts.txt.gz	GSM3554666	true
