module_color	variety	time	mean	sem	n
blue	Vvcs	12	-0.0786342218343614	0.00618909346899991	3
blue	Vvcs	13	-0.0701250658063299	0.0231542911832766	2
blue	Vvcs	14	-0.113514507013082	0.0133798224117963	3
blue	Vvcs	15	-0.0502465842067326	0.00589447630470068	3
blue	Vvcs	16	-0.132026703424805	0.0132409169877211	3
blue	Vvcs	17	-0.124559701621738	0.0144495892685309	3
blue	Vvri	0	0.134989276416203	0.00720264048799824	3
blue	Vvri	1	0.0928889058180179	0.0137643296350728	3
blue	Vvri	2	0.0584923305296149	0.00616949325166412	3
blue	Vvri	3	0.0519669029779634	0.00593500743505144	3
blue	Vvri	4	0.0479145632011735	0.0082120364753859	2
blue	Vvri	5	0.0380330734214566	0.004315903528417	2
blue	Vvri	6	0.036557175208138	0.00252878991172202	4
blue	Vvri	7	0.0199876240067299	0.01049857169082	3
blue	Vvri	8	0.0134743122646817	0.00124300098531536	4
blue	Vvri	9	-0.0418522777056388	NA	1
blue	Vvri	10	-0.0182456500634879	0.0188844306446641	3
blue	Vvri	11	-0.0591052524203697	0.0301119451282496	3
blue	Vvri	12	-0.0392782058816051	0.00296211703205417	3
blue	Vvri	13	-0.0475863503220748	0.0141012160819639	3
blue	Vvri	14	-0.111956438646439	0.00551215965628504	3
blue	Vvri	15	-0.122563908134059	0.0122219815781022	3
brown	Vamu	0	-0.0714949430249521	0.00631529773332933	4
brown	Vamu	1	-0.0524886693887794	0.00848938324690946	3
brown	Vamu	2	-0.0646168338853914	0.00665738622097806	3
brown	Vamu	3	-0.0406740577099669	0.020815904013993	3
brown	Vamu	4	-0.0627712049082178	0.0129914635397541	3
brown	Vamu	5	-0.0755885828406657	0.0183923479010658	3
brown	Vamu	7	-0.0879618871893637	0.0101421390187555	3
brown	Vamu	8	-0.0841076065127116	0.0162912710025603	3
brown	Vamu	9	-0.11036154836586	0.002665296478749	2
brown	Vamu	10	-0.0909436870297623	0.00489919984587493	3
brown	Vrip	0	-0.0306187350360482	0.00589303739798204	6
brown	Vrip	1	-0.0199494963928942	0.0105769284229932	4
brown	Vrip	2	-0.0274577165252925	0.0145173063072113	3
brown	Vrip	3	-0.0536405828246357	0.00213033228816229	4
brown	Vrip	4	-0.0198456513014335	0.0169808108073803	2
brown	Vrip	5	-0.0475128644322081	0.0014146579733794	3
brown	Vrip	6	-0.0560337428427204	0.00912126635353311	4
brown	Vrip	7	-0.0325291465916386	0.0111629168215144	3
brown	Vrip	8	-0.0676074180088388	0.0134360758358759	3
brown	Vrip	9	-0.0774417186120612	0.00671047376569279	3
brown	Vrip	10	-0.101197606298163	0.00493141767283648	3
brown	Vrip	11	-0.104160667543341	0.0132156094523798	3
brown	Vrip	12	-0.0987749018942889	0.0115333073227427	3
brown	Vvcs	0	0.0515193544962122	0.0131250467892972	3
brown	Vvcs	1	0.116076869452387	0.00776671797650462	3
brown	Vvcs	2	0.118717543279032	0.0143936683937344	3
brown	Vvcs	3	0.124720563134526	0.010716645675812	3
brown	Vvcs	4	0.102256857191019	0.0109826888789957	3
brown	Vvcs	5	0.0815851839613501	0.00793521305275684	3
brown	Vvcs	6	0.0993375887381601	0.00869352357062256	4
brown	Vvcs	7	0.0844691881224764	0.0119942065247147	3
brown	Vvcs	8	0.0585121295317902	0.0142551708622778	3
brown	Vvcs	9	0.0560599291576742	0.0356129688970611	2
